id,status,series,laureate_en,laureate_zh,category,prize_year,affiliation,country,date,host_key,title_en,title_zh,hook_zh,hook_en,summary_zh,summary_en,topic_tags,yt_lecture,yt_lecture_ntu,yt_guide,extra_sessions,interviews,nobel_facts,instagram,ntu_epaper,ntu_spotlight
geim,published,TAIWAN BRIDGES,Prof. Sir Andre Geim,安德烈‧蓋姆,physics,2010,University of Manchester,UK,2025-11-10,NTU,Wonder materials,神奇材料,一支鉛筆、一捲膠帶，換來一座諾貝爾獎。,"A pencil, a roll of sticky tape, and a Nobel Prize.",你摸得到的每一樣東西都有三個維度——但蓋姆偏偏做出了只有一顆原子厚的材料：石墨烯（graphene）。它極強韌、極導電，裡頭的電子跑起來像沒有質量，讓相對論（relativity）可以在實驗桌上被看見。這堂課講的不是更貴的儀器，而是一個愛玩的念頭能走多遠。,"Everything you can touch has three dimensions — but Andre Geim made a material just one atom thick. Graphene is extraordinarily strong, highly conductive, and its electrons behave as if they have no mass, letting you watch relativity on a lab bench. The lecture is less about better machines than about how far a playful idea can travel.",physics-applied | method-discovery,rcE23c82xUc,1KdZldwfnT4,S2ohEFiR4u0,,,https://www.nobelprize.org/prizes/physics/2010/geim/facts/,https://www.instagram.com/reel/DQ6SspNATCL/,https://sec.ntu.edu.tw/epaper/article.asp?num=1666&sn=39600,https://www.ntu.edu.tw/spotlight/2025/2424_20251112.html
thooft,published,TAIWAN BRIDGES,Prof. Gerardus 't Hooft,傑拉德‧特胡夫特,physics,1999,Utrecht University,Netherlands,2025-11-14,TKU,Education and collaboration in fundamental science as bridges between nations,以基礎科學的教育與合作，作為國與國之間的橋樑,在一個分裂的世界裡，還有什麼能把人聚在一起？,"In a divided world, what can still bring people together?",特胡夫特用一生研究最微小的粒子，卻在這堂課談最大的問題：科學能不能成為國與國之間的橋。對他而言，物理從來不只是粒子，而是一種跨越國界、共用同一套語言的合作方式。,"Gerardus 't Hooft spent his career on the smallest particles in nature, and uses this lecture to ask the largest question: can science be a bridge between nations? For him physics was never only about particles — it is a way of working together in one shared language, across borders.",physics-fundamental | education-career | peace-society,OHIoN7OcMTM,,,,,https://www.nobelprize.org/prizes/physics/1999/thooft/facts/,,,
karman,published,TAIWAN BRIDGES,Mrs. Tawakkol Karman,塔瓦庫‧卡曼,peace,2011,Human rights activist,Yemen,2025-11-17,NTHU,Sustainable development and shared future,永續發展與共享的未來,如果人們仍活在戰爭與壓迫之中，綠色的未來還有意義嗎？,"What is a green future worth, if people are still trapped in war?",卡曼提醒我們，永續（sustainability）從來不只是碳排放的問題。當戰爭摧毀生活、貧窮把人排除在外、利潤被放在人權之前，一個國家不可能真正成長。她主張的未來，要更乾淨，也要更公平、更能共享。,"Tawakkol Karman argues that sustainability was never only about carbon. No country truly grows while war destroys lives, poverty shuts people out, and profit comes before human rights. The future she describes has to be cleaner — and also fairer, and shared.",peace-society | climate-energy | ethics-responsibility,q3V6sN0zE7c,,,,,https://www.nobelprize.org/prizes/peace/2011/karman/facts/,,,
kornberg,published,TAIWAN BRIDGES,Prof. Roger D. Kornberg,羅傑‧康柏格,chemistry,2006,Stanford University,USA,2025-11-20,AS,The end of disease? – The extraordinary developments in biomedicine and the implications for humanity,疾病的終點？——生物醫學的非凡進展及其對人類的意義,有一天，人類會不會真的把疾病終結掉？,Could humanity actually bring disease to an end?,康柏格解開了細胞如何讀取基因、把訊息轉錄出來的分子細節——那是所有生命運作的第一步。從這個基礎出發，他在這堂課談生物醫學（biomedicine）近年的爆炸性進展，以及當醫學真的走到那一步時，人類要面對什麼。,"Roger Kornberg worked out the molecular detail of how a cell reads its genes and copies the message out — the first step in everything a living thing does. From that foundation he looks at the recent explosion of progress in biomedicine, and at what humanity has to face if medicine really does get that far.",life-science | medicine-clinical | ethics-responsibility,zBzFC9ODs1M,,,,storm::sWcdQVzpkQA,https://www.nobelprize.org/prizes/chemistry/2006/kornberg/facts/,,,
queloz,published,TAIWAN BRIDGES,Prof. Didier Queloz,迪迪埃‧奎洛茲,physics,2019,ETH Zürich,Switzerland,2025-11-24,NTNU,The role of science in building a global agenda for peace,科學在建立全球和平議程中的角色,發現第一顆系外行星的人，為什麼開始談和平？,The man who found the first exoplanet — now talking about peace.,奎洛茲與同事找到第一顆繞著類太陽恆星運行的系外行星（exoplanet），從此我們知道太陽系並不孤單。在這堂課裡，他把望遠鏡轉回地球，談科學社群如何跨越國界運作，以及這種合作方式能為全球議題帶來什麼。,"Didier Queloz and his colleague found the first planet orbiting another Sun-like star, and with it the knowledge that our solar system is not alone. Here he turns the telescope back towards Earth, on how the scientific community works across borders and what that way of working offers the world's shared problems.",physics-fundamental | peace-society | method-discovery,awXleH-HVEI,,,,cw::ishzcLcC-Bc,https://www.nobelprize.org/prizes/physics/2019/queloz/facts/,,,
murad,published,TAIWAN BRIDGES,Ms. Nadia Murad,娜迪雅‧穆拉德,peace,2018,Human rights activist,Iraq / USA,2025-12-01,AS,Who can influence the end of conflict-related sexual violence (CRSV) worldwide? – The power of personal stories and the role of activism,誰能終結全球的衝突相關性暴力？——個人故事的力量與行動者的角色,當世界不願意聽，一個人的故事能改變什麼？,"When the world won't listen, what can one person's story change?","穆拉德是戰爭中性暴力（conflict-related sexual violence, CRSV）的倖存者，她選擇把自己的經歷說出來，讓一件長期被沉默包圍的罪行被看見。這堂課談的是：個人的證詞如何成為國際行動的起點，而我們每一個人在其中能站在哪裡。","Nadia Murad survived sexual violence used as a weapon of war, and chose to tell her own story so that a crime long surrounded by silence could be seen. This lecture is about how one person's testimony becomes the starting point for international action — and where the rest of us can stand in it.",peace-society | ethics-responsibility,K86pQuvw144,,,,,https://www.nobelprize.org/prizes/peace/2018/murad/facts/,,,
pissarides,published,TAIWAN BRIDGES,Prof. Sir Christopher A. Pissarides,克里斯多福‧皮薩里德斯,economics,2010,London School of Economics,UK,2025-12-09,NCKU,AI and the future of work and wellbeing,AI 與工作和福祉的未來,AI 會不會搶走你的工作？他說，沒那麼簡單。,Will AI take your job? He says it's not that simple.,皮薩里德斯研究的是勞動市場（labour market）如何媒合人與工作。他認為 AI 不會拿走每一份工作，而是拿走某些工作裡的某些部分；在判斷、溝通、照顧、臨場決策上，人仍然重要。真正的問題不在技術，而在人們能不能得到轉換跑道所需的訓練。,"Christopher Pissarides studies how labour markets match people to work. His view: AI will not take every job — it will take parts of some jobs, while judgement, communication, care and split-second decisions still need people. The real question is not the technology but whether people get the training to move with it.",economics | ai-computation | education-career,mDPup-8ozT4,,,,,https://www.nobelprize.org/prizes/economic-sciences/2010/pissarides/facts/,,,
maskin,published,TAIWAN BRIDGES,Prof. Eric S. Maskin,艾瑞克‧馬斯金,economics,2007,Harvard University,USA,2025-12-15,NTU,Why globalization has failed to reduce inequality,為什麼全球化沒有縮小不平等,全球化本來該讓差距變小，為什麼反而變大了？,Globalization was supposed to shrink the gap. It widened it.,今天的全球化不只是買賣，而是跨國分工（global value chains）：一個產品，很多工種，很多技能層級。高技能的工作接上了世界，低技能的沒有；於是經濟成長的同時，差距也一起長大。馬斯金的結論不是停止全球化，而是讓更多人具備坐上這張桌子的能力。,"Globalization today is not just trade but teamwork across countries: one product, many jobs, many skill levels. High-skill work plugs into the world and wins; low-skill work does not. So as the economy grows, the gap grows with it. Eric Maskin's answer is not to stop globalization, but to help more people gain a seat at the table.",economics | education-career,Vaftz_NrTww,hv8g3oRq7Ms,ET-QoWIUjec,,cw::KALrpOE4kfs | storm::-BB6eP51GeQ,https://www.nobelprize.org/prizes/economic-sciences/2007/maskin/facts/,https://www.instagram.com/reel/DSWODY1iK_K/,https://sec.ntu.edu.tw/epaper/article.asp?num=1671&sn=39645,https://www.ntu.edu.tw/spotlight/2025/2439_20251217.html
sudhof,published,TAIWAN BRIDGES,Prof. Thomas C. Südhof,湯瑪斯‧聚德霍夫,medicine,2013,Stanford University,USA,2026-01-05,AU,Drug development for neurodegenerative diseases: towards cheaper and more sustainable treatment,神經退化性疾病的藥物開發：邁向更便宜、更可持續的治療,能治好的藥，如果沒人付得起，算治好了嗎？,A cure nobody can afford — is it a cure?,聚德霍夫解開了神經細胞之間如何在千分之一秒內精準傳遞訊號（synaptic transmission）。這堂課他把焦點放在阿茲海默症（Alzheimer's disease）、帕金森氏症（Parkinson's disease）這類神經退化疾病（neurodegenerative diseases）的用藥困境：不只是要開發得出來，還要開發得便宜、供得起、走得久。,"Thomas Südhof worked out how nerve cells pass signals to each other with millisecond precision. Here he focuses on the hard part of treating neurodegenerative diseases such as Alzheimer's and Parkinson's: not only developing a drug, but developing one that is cheap enough, available enough, and sustainable enough to matter.",life-science | medicine-clinical | ethics-responsibility,BaeZY-6cwDk,,,6sh75WDdREs::Day 2 · 2026-01-06,cw::85quwK-splA,https://www.nobelprize.org/prizes/medicine/2013/sudhof/facts/,,,
ciechanover,published,TAIWAN BRIDGES,Prof. Aaron Ciechanover,亞倫‧切哈諾沃,chemistry,2004,Israel Institute of Technology,Israel,2026-01-09,CMU,Personalized medicine revolution: Are we going to cure all diseases and at what price?,個人化醫療革命：我們能治好所有疾病嗎？代價又是什麼？,一樣的病，一樣的藥，結果卻完全不同。,Same disease. Same drug. Completely different results.,切哈諾沃發現了細胞如何標記並分解不需要的蛋白質（ubiquitin-mediated protein degradation）——這套機制一旦出錯，就可能演變成癌症。他在這堂課談醫學正在離開「一體適用」：兩個人診斷相同，基因與體質卻不同，同一種藥可能有效、可能無效、也可能帶來嚴重副作用。,"Aaron Ciechanover discovered how cells tag unwanted proteins for destruction — a system that, when it goes wrong, can end in cancer. His lecture is about medicine leaving one-size-fits-all behind: two people can share a diagnosis but not their genes, and the same drug may work, miss, or do real harm.",chemistry-molecular | medicine-clinical | ethics-responsibility,m14M1uLkFFU,,,,cw::Spc1R-6Qhhs,https://www.nobelprize.org/prizes/chemistry/2004/ciechanover/facts/,,,
